Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
184,0,0.417051,-2.183447,2.537514,-1294.030762,-451.034698,2062.070313
185,0,0.4791,-2.209481,2.538984,-1263.519653,-449.23465,2064.473877
186,0,0.547044,-2.235448,2.545514,-1233.862305,-447.497803,2066.073975
187,0,0.60789,-2.258946,2.551743,-1203.877563,-445.663574,2066.624268
188,0,0.668748,-2.281837,2.556717,-1173.939209,-443.832062,2066.179932
189,0,0.732199,-2.303188,2.556515,-1143.89563,-442.012573,2064.662598
190,0,0.797708,-2.328097,2.559865,-1113.878052,-440.237701,2062.182129
191,0,0.853237,-2.350509,2.55963,-1084.173462,-438.375336,2058.718994
192,0,0.93098,-2.372518,2.554291,-1054.640381,-436.621918,2054.469727
193,0,0.993934,-2.391435,2.552744,-1025.060303,-434.814117,2049.148438
194,0,1.057926,-2.410758,2.548636,-995.444458,-432.981018,2042.831177
195,0,1.127165,-2.429402,2.54344,-965.856323,-431.143341,2035.536499
196,0,1.195448,-2.447212,2.537358,-936.26178,-429.31665,2027.259644
197,0,1.267125,-2.463425,2.530409,-906.895691,-427.48764,2018.084717
198,0,1.337554,-2.478274,2.522851,-877.532593,-425.643127,2007.936279
199,0,1.397842,-2.490633,2.548234,-847.429077,-423.798248,1997.055664
200,0,1.470778,-2.503917,2.539625,-817.969482,-421.953339,1984.948975
201,0,1.542192,-2.515765,2.531575,-788.488831,-420.136719,1971.864014
202,0,1.616135,-2.527358,2.521816,-759.228149,-418.306824,1957.869263
203,0,1.690512,-2.536458,2.510305,-729.969788,-416.483765,1942.930664
204,0,1.76772,-2.544782,2.496047,-700.768127,-414.673248,1926.998291
205,0,1.866181,-2.542732,2.473416,-672.036865,-412.843597,1909.979736
206,0,1.946517,-2.549452,2.449984,-642.610596,-411.094086,1892.113159
207,0,2.026078,-2.552722,2.427662,-613.541626,-409.334778,1873.320923
208,0,2.104471,-2.553887,2.404449,-584.53418,-407.554077,1853.611694
209,0,2.194517,-2.557266,2.368046,-555.636841,-405.665131,1832.86438
210,0,2.265182,-2.552621,2.348614,-526.615173,-403.989868,1811.241211
211,0,2.521473,-2.490876,2.244943,-498.099365,-402.601288,1788.497925
212,0,2.604736,-2.480286,2.211142,-469.134674,-400.770752,1764.986816
213,0,2.686205,-2.469174,2.175263,-440.23526,-398.913116,1740.550781
214,0,2.652814,-2.521259,2.16908,-411.477753,-396.386627,1715.168701
215,0,2.741331,-2.506588,2.1288,-382.642242,-394.527985,1688.83728
216,0,2.831443,-2.488245,2.083384,-353.92276,-392.681915,1661.581909
217,0,2.911964,-2.466954,2.053673,-324.905426,-390.916351,1633.451172
218,0,3.000463,-2.44472,2.003145,-296.232727,-389.077026,1604.320068
219,0,3.090346,-2.42569,1.940406,-267.415405,-387.262329,1574.247314
220,0,3.174992,-2.398987,1.886436,-238.790695,-385.43512,1543.262207
221,0,3.26132,-2.371909,1.821864,-210.391113,-383.597748,1511.314575
222,0,3.365445,-2.329543,1.751769,-182.097092,-381.636627,1478.519409
223,0,3.458791,-2.292756,1.658075,-154.295334,-379.807251,1444.643799
224,0,3.54961,-2.248725,1.585868,-126.012756,-377.927826,1409.985474
225,0,3.636273,-2.203661,1.510277,-97.780975,-376.073303,1374.386353
226,0,3.723561,-2.153137,1.431467,-69.547424,-374.20636,1337.883789
227,0,3.807841,-2.100152,1.350468,-41.402908,-372.339874,1300.472412
228,0,3.889652,-2.043996,1.247694,-13.697915,-370.608215,1262.198975
229,0,3.966754,-1.985953,1.162256,14.357379,-368.682831,1223.033203
230,0,4.041599,-1.924469,1.072438,42.324806,-366.802887,1182.934692
231,0,4.118766,-1.858988,0.96035,70.015434,-364.931335,1142.019653
232,0,4.183701,-1.796497,0.860134,97.799431,-363.078949,1100.133911
233,0,4.24968,-1.725434,0.758373,125.508308,-361.1651,1057.383423
234,0,4.311458,-1.651967,0.653296,153.170563,-359.214142,1013.767029
235,0,4.370564,-1.574157,0.546594,180.788849,-357.288239,969.246704
236,0,4.425443,-1.490666,0.437391,208.329163,-355.342316,923.839478
237,0,4.470655,-1.41625,0.298198,235.491272,-353.541931,877.667908
238,0,4.513351,-1.332098,0.175642,262.817017,-351.616821,830.585205
239,0,4.550063,-1.247607,0.049678,290.011566,-349.682556,782.639587
240,0,4.576803,-1.15656,-0.087793,317.00174,-347.931335,733.872314
241,0,4.602359,-1.070398,-0.214628,344.055969,-345.969299,684.17981
